,City,Country,Temperature (F),Latitude,Longitude,Humidity (%),Cloudiness (%),Wind Speed (mph)
435,Luwuk,ID,80.39,-0.95,122.79,95,64,3.47
436,Kangaatsiaq,GL,26.21,68.31,-53.46,100,12,8.39
437,Umm Bab,QA,68,25.21,50.81,82,20,5.82
438,Jalu,LY,57.8,29.03,21.55,54,0,7.72
439,Batemans Bay,AU,71.94,-35.71,150.18,69,24,3
440,Ayan,TR,28.46,40.67,33.6,81,44,2.35
441,Guararapes,BR,74.36,-21.25,-50.65,81,48,2.68
442,Beloha,MG,61.49,-25.17,45.06,84,0,3.13
443,Priiskovyy,RU,38.27,51.93,116.63,25,0,4.36
444,Banjar,ID,79.22,-7.37,108.54,84,76,3.58
445,Ban Tak,TH,77,17.04,99.08,69,0,2.24
446,Saskylakh,RU,28.37,71.97,114.09,99,80,4.59
447,Mao,DO,76.96,19.55,-71.08,83,40,11.41
448,Westport,IE,39.63,53.8,-9.52,88,92,5.99
449,Inver Grove Heights,US,38.73,44.85,-93.04,51,20,16.11
450,Antalaha,MG,76.7,-14.9,50.28,90,44,5.59
451,Madimba,CM,77,4.42,9.93,88,20,3.36
452,Maloy,ID,82.28,1,118.1,80,76,2.91
453,Buala,SB,80.93,-8.15,159.59,99,76,6.6
454,Muli,IN,81.74,22.62,71.45,46,0,4.59
455,Port Lincoln,AU,71.03,-34.72,135.86,78,76,10.29
456,Skjervoy,NO,37.1,70.03,20.97,100,92,20.02
457,Barrhead,CA,39.2,54.12,-114.4,48,1,3.36
458,Tha Maka,TH,87.32,13.9,99.77,73,8,3.13
459,Coro,VE,74.72,11.41,-69.67,87,24,8.95
460,Lasa,CY,49.23,34.92,32.53,87,0,8.05
461,Chimbote,PE,68.24,-9.08,-78.59,95,32,5.26
462,Yaan,NG,81.65,7.38,8.57,70,0,13.42
463,Sabang,PH,81.92,13.72,123.58,80,68,6.93
464,Santiago,CL,68.94,-33.44,-70.65,52,0,8.05
465,Vallenar,CL,55.19,-28.58,-70.76,69,0,3.58
466,Nirmal,IN,84.08,19.09,78.35,45,0,4.81
467,Dordrecht,NL,41.32,51.8,4.68,86,8,9.17
468,Morros,BR,77,-2.87,-44.04,94,40,9.17
469,Acajutla,SV,78.01,13.59,-89.83,73,0,1.99
470,Beinamar,TD,76.7,8.67,15.38,74,0,8.61
471,Pamplona,ES,47.44,42.82,-1.64,93,90,10.29
472,Hualmay,PE,65.99,-11.1,-77.61,94,20,4.36
473,Porto Novo,BR,68,-23.68,-45.44,94,75,4.7
474,Parana,BR,77,-7.52,-72.89,100,0,2.46
475,Nesna,NO,27.47,66.2,13.02,95,36,2.46
476,Grand Gaube,MU,77,-20.01,57.66,83,20,7.72
477,Bodden Town,KY,78.57,19.28,-81.25,83,0,9.17
478,Mayo,CA,37.4,63.59,-135.9,37,90,12.75
479,Ternate,PH,87.3,14.29,120.72,51,20,9.17
480,Aksu,KZ,35.6,52.04,76.93,93,0,11.18
481,Port Moresby,PG,87.8,-9.47,147.16,66,20,11.41
482,Sagua la Grande,CU,78.8,22.81,-80.07,57,40,6.93
483,Bilma,NE,65.36,18.69,12.92,35,0,3.91
484,Biak,ID,80.39,-0.91,122.88,95,64,3.47
485,Juneau,US,57.94,58.3,-134.42,33,75,5.82
486,Morant Bay,JM,80.6,17.88,-76.41,69,20,16.11
487,San Carlos de Bariloche,AR,46.4,-41.13,-71.31,49,0,2.24
488,Paita,PE,74.9,-5.09,-81.11,72,32,4.92
489,Soyo,AO,75.8,-6.13,12.37,98,68,3.58
490,Erenhot,CN,58.25,43.65,111.97,44,0,9.95
491,Kinkala,CG,73.4,-4.35,14.75,100,88,2.13
492,Saint-Joseph,FR,49.8,43.56,6.97,81,76,2.24
493,Conceicao da Barra,BR,78.86,-18.59,-39.73,91,12,6.6
494,Camopi,GF,77.24,3.17,-52.33,85,88,3.13
495,Natal,BR,79.9,-5.81,-35.21,94,20,4.7
496,Anamur,TR,50,36.08,32.84,100,40,4.7
497,Islamkot,PK,79.67,24.7,70.18,50,0,9.06
498,Maniitsoq,GL,30.71,65.42,-52.9,90,36,42.84
499,Mizdah,LY,43.76,31.45,12.98,90,0,2.68
500,Misratah,LY,55.91,32.38,15.09,100,80,3.8
501,Kenai,US,44.08,60.55,-151.26,56,1,5.82
502,Laerdalsoyri,NO,25.02,61.1,7.48,73,8,1.01
503,Santa Rita,VE,65.72,10.21,-67.56,100,44,2.91
504,Bethanien,NA,58.52,-26.5,17.16,57,0,2.57
505,Palmas,BR,80.6,-10.18,-48.33,88,20,3.36
506,Cloquet,US,31.75,46.72,-92.46,42,40,24.16
507,Gladstone,AU,83.77,-23.84,151.26,48,40,12.75
508,Mabaruma,GY,75.44,8.2,-59.78,88,0,5.7
509,Oksfjord,NO,27.19,70.24,22.35,100,92,6.93
510,Homer,US,43.32,59.64,-151.54,75,40,5.82
511,Benguela,AO,78.68,-12.58,13.4,100,8,2.35
512,Garowe,SO,65.72,8.41,48.48,93,48,4.25
513,San Quintin,PH,79.13,17.54,120.52,84,32,0.78
514,Praya,ID,86,-8.71,116.27,70,40,5.82
515,El Sauzal,AR,71.6,-24.3,-64.96,83,40,4.7
516,Sibut,CF,72.83,5.73,19.09,87,8,5.59
517,Tallahassee,US,54.54,30.44,-84.28,87,40,4.25
518,Barra do Garcas,BR,76.25,-15.89,-52.26,78,0,4.14
519,Ancud,CL,48.2,-41.87,-73.83,93,12,3.58
520,Buta,CD,73.01,2.79,24.73,94,36,2.13
521,Ostrovnoy,RU,30.53,68.05,39.51,90,68,15.21
522,Belyy Yar,RU,37.4,53.6,91.39,51,0,11.18
523,Paducah,US,50.86,37.08,-88.6,66,1,4.7
524,Nhulunbuy,AU,84.2,-12.18,136.78,83,40,10.29
525,Kariba,ZW,78.41,-16.53,28.78,60,48,9.62
526,Mbandaka,CD,75.35,0.05,18.26,98,56,2.91
527,Mangrol,IN,71.6,25.33,76.51,43,0,4.36
528,Hay River,CA,14,60.82,-115.79,72,75,10.29
529,Kieta,PG,82.91,-6.22,155.63,100,12,4.14
530,Sao Sebastiao,BR,80.93,-3.15,-58.36,78,8,4.36
531,Kaitangata,NZ,59,-46.28,169.85,52,0,5.99
532,Kirakira,SB,82.73,-10.46,161.92,100,32,8.39
533,Matagami,NG,65.54,9.67,8.4,50,0,3.91
534,Vao,EE,25.58,59.1,26.19,76,0,6.93
535,Lumphat,KH,84.98,13.5,106.97,70,0,3.02
536,Ca Mau,VN,88.76,9.18,105.15,69,12,9.17
537,Marzuq,YE,50.33,14.4,46.47,87,8,2.68
538,Koutsouras,GR,53.01,35.03,25.95,70,0,4
539,Tecolutla,MX,60.68,17.31,-98.74,63,0,1.9
540,Beyneu,KZ,43.85,45.32,55.19,95,92,18.9
541,Shagamu,NG,84.2,6.84,3.65,89,40,3.36
542,Ulladulla,AU,74.75,-35.36,150.48,47,20,8.05
543,Half Moon Bay,US,56.46,37.46,-122.43,63,90,4.7
544,Goundam,ML,82.55,16.42,-3.66,29,12,13.53
545,Bilibino,RU,34.13,68.06,166.44,75,0,3.13
546,Kerema,PG,84.98,-7.96,145.78,72,68,2.35
547,Sinjai,ID,78.05,-5.12,120.25,100,76,0.67
548,Coruripe,BR,82.82,-10.12,-36.18,94,80,8.5
549,Najran,SA,69.8,17.54,44.22,46,0,2.91
550,Sandpoint,US,52.36,48.28,-116.55,35,1,3.36
551,Mindelo,PT,48.79,41.31,-8.72,81,0,9.17
552,Dom Pedrito,BR,78.32,-30.98,-54.67,61,8,7.61
553,Tual,ID,79.85,-5.67,132.75,100,44,19.24
554,Grand-Santi,GF,78.5,4.27,-54.38,75,76,4.59
555,Waingapu,ID,82.91,-9.65,120.26,85,32,5.59
556,Nyagan,RU,24.59,62.14,65.43,79,8,7.72
557,Oktyabrskoye,RU,31.82,56.73,85.44,74,0,6.71
558,Alugan,PH,81.83,12.22,125.48,85,8,11.41
559,Dodola,BF,70.58,10.12,-3.28,92,32,8.39
560,Kankan,GN,70.49,10.38,-9.3,94,12,7.72
561,Moyale,ET,63.38,3.52,39.05,82,0,4.36
562,Halifax,CA,31.89,44.65,-63.58,96,40,13.87
563,Chato,TZ,66.71,-2.64,31.77,99,32,4.92
564,Fort Saint James,CA,35.75,54.43,-124.25,64,0,0.56
565,Nurota,UZ,62.6,40.56,65.69,67,20,9.17
566,Viedma,AR,51.59,-40.81,-62.99,80,0,3.58
567,Rafaela,AR,73.94,-31.25,-61.49,57,12,4.14
568,Mareeba,AU,79.97,-16.99,145.42,88,75,17.22
569,Vilyuysk,RU,35.57,63.75,121.63,65,0,4.92
570,Yatou,CM,77,3.63,9.81,88,20,3.36
571,Ballina,IE,39.69,54.11,-9.15,85,68,11.01
572,Malartic,CA,33.8,48.14,-78.13,100,90,11.41
573,Union,US,58.46,47.36,-123.1,67,40,11.41
574,Yichang,CN,60.05,30.77,111.32,78,92,4.81
575,Podares,MK,39.8,41.61,22.54,79,36,1.68
576,Cuamba,MZ,60.14,-14.8,36.54,94,8,7.38
577,Mangalia,RO,35.85,43.8,28.58,55,0,12.75
578,Ormara,PK,74.9,25.21,64.64,95,24,0.67
579,Takoradi,GH,81.56,4.89,-1.75,100,48,3.36
580,Altamira,BR,78.05,-3.2,-52.21,90,44,4.25
581,Brae,GB,42.8,60.4,-1.35,93,92,21.92
582,Shenjiamen,CN,54.29,29.96,122.3,93,92,5.93
583,Svetlaya,RU,33.05,46.54,138.33,88,12,7.49
584,Berekua,DM,78.05,15.23,-61.32,93,76,22.03
585,Chauk,MM,78.5,20.89,94.82,70,0,4.47
586,Chegdomyn,RU,35.66,51.13,133.04,46,12,3.36
587,Shakiso,ET,51.23,5.77,38.9,76,0,2.13
588,Atherton,GB,34.83,53.52,-2.49,93,40,1.12
589,Capoterra,IT,54.46,39.18,8.97,87,0,5.82
590,Marshall,US,48.87,39.39,-87.69,75,1,4.7
591,Atar,MR,60.23,20.52,-13.05,84,0,3.47
592,Tindivanam,IN,83.09,12.23,79.65,92,8,7.94
593,Cabras,CO,62.12,5.5,-75.6,93,68,1.68
594,Roald,NO,34.41,62.58,6.12,86,92,3.36
595,Chake Chake,TZ,79.22,-5.25,39.77,100,76,9.28
596,Storebo,NO,44.71,60.09,5.23,39,44,18.34
597,At-Bashi,KG,41,41.17,75.81,73,12,1.34
598,Lensk,RU,34.31,60.71,114.91,60,12,5.26
599,Kloulklubed,PW,84.2,7.04,134.26,74,75,10.29
600,Ust-Maya,RU,33.32,60.42,134.54,64,0,3.8
601,Jeremoabo,BR,74.45,-10.08,-38.34,82,8,7.38
602,La Rioja,AR,70.13,-29.41,-66.86,85,0,2.91
603,Bayji,IQ,47.99,34.93,43.49,93,44,6.6
604,Petropavl,KZ,35.6,54.87,69.13,69,90,15.66
605,Monterey,US,55,36.6,-121.89,71,90,6.93
606,Ateli,IN,80.48,28.1,76.28,29,0,4.36
607,Chapais,CA,30.2,49.78,-74.86,92,90,9.17
608,Pangody,RU,18.2,65.85,74.49,85,0,13.76
609,Socorro,PH,82.99,13.06,121.41,72,0,3
610,Kidal,ML,76.07,18.44,1.41,24,0,11.18
611,Acapulco,MX,80.6,16.86,-99.88,78,5,11.41
612,Sosva,RU,19.1,59.17,61.86,73,8,2.46
613,Luanda,AO,77,-8.83,13.24,88,75,2.24
614,Inta,RU,27.47,66.04,60.13,82,88,7.83
615,Khasan,RU,43.58,42.43,130.64,64,44,10.51
616,Victor Harbor,AU,74.68,-35.55,138.62,27,0,4.7
